code_dep,departement,nom,slug,nom_geocodage,type_precis,tags_architecture,tags_cadre,score_esthetique,score_notoriete,plus_beaux_villages,description_courte,activites_notables,lat,lng,population,categorie_taille,unesco,site_classe
01,Ain,Pérouges,perouges,,Plus Beaux Villages de France,"medieval, pierres_blanches",colline,9,5,oui,"Pérouges est un village médiéval parfaitement préservé, offrant une plongée dans le passé avec ses rues pavées et ses maisons anciennes.","Visite de la Cité médiévale, Découverte de la galette de Pérouges",45.903355,5.179791,1387,village,,
01,Ain,Bourg-en-Bresse,bourg-en-bresse,,Ville historique,"classique, gothique",plaine,7,4,,"Connue pour son monastère royal de Brou, Bourg-en-Bresse allie richesse historique et charme régional.","Monastère royal de Brou, Marchés traditionnels",46.20406,5.22654,42372,ville_moyenne,,
01,Ain,Parc naturel régional du Haut-Jura,parc-naturel-regional-du-haut-jura,"Haut-Jura, Ain",Parc naturel,,"moyenne_montagne, foret",8,5,,"Le parc offre des paysages variés, alternant forêts, prairies et montagnes, idéal pour la randonnée.","Randonnée, Observation de la faune",46.230317,5.741718,784,village,,
01,Ain,Culoz,culoz,,Village de charme,provençal,lac,6,7,,"Situé au bord du lac du Bourget, Culoz offre un cadre pittoresque avec ses maisons provençales.","Balade au bord du lac, Visite du château de Montvéran",45.848118,5.781077,3453,petite_ville,,
01,Ain,Château de Ferney-Voltaire,chateau-de-ferney-voltaire,"Ferney-Voltaire, Ain",Château,classique,plaine,7,5,,"Ancienne résidence de Voltaire, ce château est un témoignage de l'époque des Lumières.","Visite du château, Expositions temporaires",46.25669,6.109652,12094,ville_moyenne,,
01,Ain,Arboretum de Pézanin,arboretum-de-pezanin,"Arboretum, Dompierre-les-Ormes",Arboretum,,foret,7,6,,L'Arboretum de Pézanin est un lieu unique pour découvrir une grande variété d'essences d'arbres.,"Balades botaniques, Visite guidée",46.289878,5.682489,3555,petite_ville,,
01,Ain,Belley,belley,,Ville médiévale,"gothique, renaissance",colline,6,6,,"Capitale historique du Bugey, Belley se distingue par ses ruelles médiévales et son patrimoine religieux.","Cathédrale Saint-Jean-Baptiste, Visite du Vieux Belley",45.760002,5.686265,9388,petite_ville,,
01,Ain,Lac de Nantua,lac-de-nantua,"Lac de Nantua, Nantua",Lac,,lac,8,5,,Ce lac glaciaire aux eaux cristallines est un spot prisé pour les activités nautiques et la détente.,"Pédalo, Pêche",46.20685,5.657177,415,village,,
01,Ain,Gorges de l'Ain,gorges-de-lain,"Gorges de l'Ain, Ain",Site naturel,,"gorges, riviere",9,5,,"Ces gorges spectaculaires offrent des paysages à couper le souffle, avec des sentiers de randonnée et des points de vue sur la rivière Ain.","Randonnée, Canoë-kayak",46.223933,5.484269,623,village,,
01,Ain,Neuville-sur-Ain,neuville-sur-ain,,Village,roman,riviere,6,7,,"Ce charmant village est situé sur les rives de l'Ain, avec une église romane notable.",Visite de l'église Saint-Maurice,46.07913,5.376475,1794,village,,
01,Ain,Château des Allymes,chateau-des-allymes,"Château des Allymes, Ambérieu-en-Bugey",Château médiéval,"medieval, fortifie",colline,7,6,,"Situé sur les hauteurs d'Ambérieu-en-Bugey, ce château médiéval offre une vue imprenable sur les environs.","Visite guidée, Panorama",45.971972,5.400896,15934,ville_moyenne,,
01,Ain,Divonne-les-Bains,divonne-les-bains,,Station thermale,belle_epoque,plaine,8,4,,"Réputée pour ses thermes, Divonne-les-Bains est une destination idéale pour le bien-être et la relaxation.","Cure thermale, Casino",46.355717,6.138252,10464,ville_moyenne,,
